,period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,Generation (MWh),value-units,timestamp
145,2024-01-04,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,358,megawatthours,2024-01-04
146,2024-01-04,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,32746,megawatthours,2024-01-04
147,2024-01-04,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,6345,megawatthours,2024-01-04
148,2024-01-03,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,6871,megawatthours,2024-01-03
149,2024-01-03,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,28946,megawatthours,2024-01-03
150,2024-01-03,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,431,megawatthours,2024-01-03
151,2024-01-03,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,368,megawatthours,2024-01-03
152,2024-01-02,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,27801,megawatthours,2024-01-02
153,2024-01-02,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,314,megawatthours,2024-01-02
154,2024-01-02,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,348,megawatthours,2024-01-02
155,2024-01-02,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,6726,megawatthours,2024-01-02
156,2024-01-01,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,354,megawatthours,2024-01-01
157,2024-01-01,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,10223,megawatthours,2024-01-01
158,2024-01-01,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,718,megawatthours,2024-01-01
159,2024-01-01,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,23746,megawatthours,2024-01-01
160,2023-12-31,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,21850,megawatthours,2023-12-31
161,2023-12-31,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,10284,megawatthours,2023-12-31
162,2023-12-31,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,321,megawatthours,2023-12-31
163,2023-12-31,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,354,megawatthours,2023-12-31
164,2023-12-30,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,11325,megawatthours,2023-12-30
165,2023-12-30,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,22595,megawatthours,2023-12-30
166,2023-12-30,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,545,megawatthours,2023-12-30
167,2023-12-30,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,363,megawatthours,2023-12-30
168,2023-12-29,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,494,megawatthours,2023-12-29
169,2023-12-29,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,360,megawatthours,2023-12-29
170,2023-12-29,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,29726,megawatthours,2023-12-29
171,2023-12-29,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,11583,megawatthours,2023-12-29
172,2023-12-28,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,367,megawatthours,2023-12-28
173,2023-12-28,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,10847,megawatthours,2023-12-28
174,2023-12-28,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,709,megawatthours,2023-12-28
175,2023-12-28,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,26111,megawatthours,2023-12-28
176,2023-12-27,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,317,megawatthours,2023-12-27
177,2023-12-27,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,337,megawatthours,2023-12-27
178,2023-12-27,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,11523,megawatthours,2023-12-27
179,2023-12-27,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,25767,megawatthours,2023-12-27
180,2023-12-26,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,10534,megawatthours,2023-12-26
181,2023-12-26,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,340,megawatthours,2023-12-26
182,2023-12-26,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,460,megawatthours,2023-12-26
183,2023-12-26,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,23578,megawatthours,2023-12-26
184,2023-12-25,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,374,megawatthours,2023-12-25
185,2023-12-25,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,12128,megawatthours,2023-12-25
186,2023-12-25,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,29518,megawatthours,2023-12-25
187,2023-12-25,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,672,megawatthours,2023-12-25
188,2023-12-24,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,12285,megawatthours,2023-12-24
189,2023-12-24,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,372,megawatthours,2023-12-24
190,2023-12-24,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,729,megawatthours,2023-12-24
191,2023-12-24,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,28203,megawatthours,2023-12-24
192,2023-12-23,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,376,megawatthours,2023-12-23
193,2023-12-23,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,22116,megawatthours,2023-12-23
194,2023-12-23,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,10426,megawatthours,2023-12-23
195,2023-12-23,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,582,megawatthours,2023-12-23
196,2023-12-22,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,844,megawatthours,2023-12-22
197,2023-12-22,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,25391,megawatthours,2023-12-22
198,2023-12-22,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,381,megawatthours,2023-12-22
199,2023-12-22,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,11786,megawatthours,2023-12-22
200,2023-12-21,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,378,megawatthours,2023-12-21
201,2023-12-21,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,10356,megawatthours,2023-12-21
202,2023-12-21,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,580,megawatthours,2023-12-21
203,2023-12-21,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,31186,megawatthours,2023-12-21
