,timestamp,fromba,Power consumed locally (MWh)
613,2023-09-05,CISO,0
614,2023-09-05,TIDC,4635
615,2023-09-06,BPAT,8824
616,2023-09-06,CISO,0
617,2023-09-06,TIDC,3124
618,2023-09-07,BPAT,6222
619,2023-09-07,CISO,0
620,2023-09-07,TIDC,2885
621,2023-09-08,BPAT,2976
622,2023-09-08,CISO,0
623,2023-09-08,TIDC,3446
624,2023-09-09,BPAT,43
625,2023-09-09,CISO,0
626,2023-09-09,TIDC,3954
627,2023-09-10,BPAT,1554
628,2023-09-10,CISO,0
629,2023-09-10,TIDC,3769
630,2023-09-11,BPAT,6106
631,2023-09-11,CISO,0
632,2023-09-11,TIDC,2354
633,2023-09-12,BPAT,11316
634,2023-09-12,CISO,0
635,2023-09-12,TIDC,2783
636,2023-09-13,BPAT,3508
637,2023-09-13,CISO,1570
638,2023-09-13,TIDC,4627
639,2023-09-14,BPAT,0
640,2023-09-14,CISO,1276
641,2023-09-14,TIDC,5227
642,2023-09-15,BPAT,0
643,2023-09-15,CISO,4605
644,2023-09-15,TIDC,5315
645,2023-09-16,BPAT,0
646,2023-09-16,CISO,1522
647,2023-09-16,TIDC,4768
648,2023-09-17,BPAT,8679
649,2023-09-17,CISO,0
650,2023-09-17,TIDC,3634
651,2023-09-18,BPAT,13939
652,2023-09-18,CISO,0
653,2023-09-18,TIDC,4354
654,2023-09-19,BPAT,9474
655,2023-09-19,CISO,0
656,2023-09-19,TIDC,5441
657,2023-09-20,BPAT,5743
658,2023-09-20,CISO,0
659,2023-09-20,TIDC,5398
660,2023-09-21,BPAT,0
661,2023-09-21,CISO,0
662,2023-09-21,TIDC,6307
663,2023-09-22,BPAT,0
664,2023-09-22,CISO,3201
665,2023-09-22,TIDC,6069
666,2023-09-23,BPAT,0
667,2023-09-23,CISO,0
668,2023-09-23,TIDC,6088
669,2023-09-24,BPAT,0
670,2023-09-24,CISO,0
671,2023-09-24,TIDC,5184
672,2023-09-25,BPAT,0
673,2023-09-25,CISO,1503
674,2023-09-25,TIDC,6393
675,2023-09-26,BPAT,0
676,2023-09-26,CISO,7743
677,2023-09-26,TIDC,5526
678,2023-09-27,BPAT,0
679,2023-09-27,CISO,3860
680,2023-09-27,TIDC,5366
681,2023-09-28,BPAT,4165
682,2023-09-28,CISO,0
683,2023-09-28,TIDC,6073
684,2023-09-29,BPAT,0
685,2023-09-29,CISO,3901
686,2023-09-29,TIDC,5336
687,2023-09-30,BPAT,925
688,2023-09-30,CISO,0
689,2023-09-30,TIDC,5692
690,2023-10-01,BPAT,39
691,2023-10-01,CISO,0
692,2023-10-01,TIDC,5381
693,2023-10-02,BPAT,83
694,2023-10-02,CISO,3336
695,2023-10-02,TIDC,6881
696,2023-10-03,BPAT,65
697,2023-10-03,CISO,585
698,2023-10-03,TIDC,6788
699,2023-10-04,BPAT,3255
700,2023-10-04,CISO,2648
701,2023-10-04,TIDC,5458
702,2023-10-05,BPAT,1060
703,2023-10-05,CISO,290
704,2023-10-05,TIDC,5963
705,2023-10-06,BPAT,0
706,2023-10-06,CISO,584
707,2023-10-06,TIDC,6099
708,2023-10-07,BPAT,18
709,2023-10-07,CISO,1756
710,2023-10-07,TIDC,6329
711,2023-10-08,BPAT,2327
712,2023-10-08,CISO,3545
713,2023-10-08,TIDC,5036
714,2023-10-09,BPAT,4205
715,2023-10-09,CISO,0
716,2023-10-09,TIDC,4613
717,2023-10-10,BPAT,516
718,2023-10-10,CISO,10727
719,2023-10-10,TIDC,334
720,2023-10-11,BPAT,3617
721,2023-10-11,CISO,7863
722,2023-10-11,TIDC,0
723,2023-10-12,BPAT,0
724,2023-10-12,CISO,7588
725,2023-10-12,TIDC,0
726,2023-10-13,BPAT,0
727,2023-10-13,CISO,5659
728,2023-10-13,TIDC,0
729,2023-10-14,BPAT,0
730,2023-10-14,CISO,7532
731,2023-10-14,TIDC,0
732,2023-10-15,BPAT,0
733,2023-10-15,CISO,3288
734,2023-10-15,TIDC,185
735,2023-10-16,BPAT,0
736,2023-10-16,CISO,9428
737,2023-10-16,TIDC,0
738,2023-10-17,BPAT,4207
739,2023-10-17,CISO,8338
740,2023-10-17,TIDC,0
741,2023-10-18,BPAT,0
742,2023-10-18,CISO,10307
743,2023-10-18,TIDC,0
744,2023-10-19,BPAT,0
745,2023-10-19,CISO,10649
746,2023-10-19,TIDC,0
747,2023-10-20,BPAT,0
748,2023-10-20,CISO,9819
749,2023-10-20,TIDC,0
750,2023-10-21,BPAT,0
751,2023-10-21,CISO,10839
752,2023-10-21,TIDC,0
753,2023-10-22,BPAT,0
754,2023-10-22,CISO,9046
755,2023-10-22,TIDC,0
756,2023-10-23,TIDC,0
757,2023-10-24,BPAT,0
758,2023-10-24,CISO,15714
759,2023-10-24,TIDC,0
760,2023-10-25,BPAT,0
761,2023-10-25,CISO,18553
762,2023-10-25,TIDC,0
763,2023-10-26,BPAT,0
764,2023-10-26,CISO,17605
765,2023-10-26,TIDC,0
766,2023-10-27,BPAT,0
